image_id,image_width,image_height,image_aspect_ratio
1,59,25,2.36
2,91,35,2.6
3,120,47,2.5531914893617023
4,264,105,2.5142857142857142
5,82,51,1.607843137254902
6,78,33,2.3636363636363638
7,69,34,2.0294117647058822
8,106,49,2.163265306122449
9,187,75,2.493333333333333
10,171,61,2.80327868852459
11,66,28,2.357142857142857
12,330,142,2.323943661971831
13,100,46,2.1739130434782608
14,279,119,2.3445378151260505
15,111,43,2.5813953488372094
16,134,41,3.268292682926829
17,150,69,2.1739130434782608
18,219,100,2.19
19,127,76,1.6710526315789473
20,100,36,2.7777777777777777
21,121,63,1.9206349206349207
22,67,33,2.0303030303030303
23,203,96,2.1145833333333335
24,54,30,1.8
25,429,180,2.3833333333333333
26,91,42,2.1666666666666665
27,62,28,2.2142857142857144
28,432,257,1.6809338521400778
29,72,31,2.3225806451612905
30,156,82,1.9024390243902438
31,69,35,1.9714285714285715
32,52,21,2.4761904761904763
33,75,35,2.142857142857143
34,84,46,1.826086956521739
35,51,20,2.55
36,50,24,2.0833333333333335
37,139,70,1.9857142857142858
38,232,97,2.3917525773195876
39,55,24,2.2916666666666665
40,64,18,3.5555555555555554
41,165,76,2.1710526315789473
42,173,77,2.2467532467532467
43,91,39,2.3333333333333335
44,111,60,1.85
45,78,33,2.3636363636363638
46,161,78,2.0641025641025643
47,119,48,2.4791666666666665
48,199,112,1.7767857142857142
49,165,69,2.391304347826087
50,56,25,2.24
51,45,19,2.3684210526315788
52,132,54,2.4444444444444446
53,165,64,2.578125
54,68,31,2.193548387096774
55,52,27,1.9259259259259258
56,67,31,2.161290322580645
57,51,27,1.8888888888888888
58,104,49,2.122448979591837
59,56,28,2.0
60,116,47,2.4680851063829787
61,368,131,2.8091603053435112
62,76,34,2.235294117647059
63,98,47,2.0851063829787235
64,127,60,2.1166666666666667
65,231,123,1.8780487804878048
66,75,32,2.34375
67,60,26,2.3076923076923075
68,99,36,2.75
69,60,29,2.0689655172413794
70,70,33,2.121212121212121
71,199,86,2.313953488372093
72,94,37,2.5405405405405403
73,50,22,2.272727272727273
74,81,34,2.3823529411764706
75,59,19,3.1052631578947367
76,306,119,2.5714285714285716
77,37,18,2.0555555555555554
78,62,27,2.2962962962962963
79,128,57,2.245614035087719
80,233,125,1.864
81,99,33,3.0
82,87,40,2.175
83,191,83,2.3012048192771086
84,89,39,2.282051282051282
85,128,56,2.2857142857142856
86,386,149,2.5906040268456376
87,67,34,1.9705882352941178
88,94,42,2.238095238095238
